Entity,Code,Year,Living Planet Index,Upper confidence interval of Living Planet Index,Lower confidence interval of Living Planet Index
Asia and Pacific,,1976,107.95983,119.40915999999999,99.06393999999999
Asia and Pacific,,1977,106.00847,117.61702999999999,96.93238
Asia and Pacific,,1978,103.8813,115.62893000000001,94.64202
Asia and Pacific,,1979,102.26315,114.1453,92.888796
Asia and Pacific,,1980,101.17103999999999,113.24356,91.60987
Asia and Pacific,,1981,99.90027500000001,112.09414,90.06607
Asia and Pacific,,1982,98.06892,110.2777,88.05967
Asia and Pacific,,1983,95.40395000000001,107.56749,85.37002
Asia and Pacific,,1984,93.619156,106.72512,82.811826
Asia and Pacific,,1985,93.40339,108.32638000000001,81.15850999999999
Asia and Pacific,,1986,94.81911,113.22140999999999,80.31374
Asia and Pacific,,1987,95.18263,116.10952999999999,79.192847
Asia and Pacific,,1988,94.774324,117.61899,77.78521
Asia and Pacific,,1989,93.57719399999999,116.84057999999999,76.32293999999999
Asia and Pacific,,1990,90.70645,114.5702,73.153824
Asia and Pacific,,1991,87.318444,111.8993,69.55493
Asia and Pacific,,1992,83.626175,108.72444000000002,65.65954699999999
Asia and Pacific,,1993,79.48206,104.41960999999999,61.76587
Asia and Pacific,,1994,76.156116,101.03317000000001,58.486366000000004
Asia and Pacific,,1995,72.777075,97.607833,55.14763000000001
Asia and Pacific,,1996,71.23953,96.35527,53.36959
Asia and Pacific,,1997,68.88039,93.92285,51.06280399999999
Asia and Pacific,,1998,66.21564,90.9207,48.693627
Asia and Pacific,,1999,63.25674,87.43254999999999,46.180665
Asia and Pacific,,2000,60.836875,84.53049700000001,44.153407
Asia and Pacific,,2001,59.460074,83.03233399999999,43.010604
Asia and Pacific,,2002,59.40582,83.218604,42.947298
Asia and Pacific,,2003,59.789216999999994,83.91807999999999,43.122348
Asia and Pacific,,2004,59.64404,84.05449,42.785895000000004
Asia and Pacific,,2005,57.462436,81.37725999999999,40.99198
Asia and Pacific,,2006,54.030376999999994,77.179766,38.320583
Asia and Pacific,,2007,49.774006,71.47019999999999,35.142812
Asia and Pacific,,2008,46.577754999999996,67.28805,32.710785
Asia and Pacific,,2009,43.547058,63.20089,30.370303999999997
Asia and Pacific,,2010,42.038888,61.53361,29.038098
Asia and Pacific,,2011,40.70394,60.29845,27.806925999999997
Asia and Pacific,,2012,40.625206000000006,60.90478,27.48775
Asia and Pacific,,2013,42.730197,65.05145,28.516975
Asia and Pacific,,2014,45.025682,69.36964,29.657936000000003
Asia and Pacific,,2015,47.193745,73.76045,30.619397999999997
Asia and Pacific,,2016,45.737422,72.21392,29.359853
Asia and Pacific,,2017,45.325962,72.19799,28.810632000000002
Asia and Pacific,,2018,43.19193,69.18523,27.244220000000002
Asia and Pacific,,2019,41.926342,67.602247,26.193655
Asia and Pacific,,2020,39.603937,64.33672,24.470406999999998
Europe and Central Asia,,1970,100,100,100
Europe and Central Asia,,1971,101.56175999999999,104.97311,98.64034000000001
Europe and Central Asia,,1972,103.28828000000001,108.97547999999999,98.400074
Europe and Central Asia,,1973,105.34041,112.16738,99.39167
Europe and Central Asia,,1974,107.97343,116.07008,100.90113000000001
Europe and Central Asia,,1975,110.22451,119.48347,102.0718
Europe and Central Asia,,1976,111.41124,121.77454,102.13884
Europe and Central Asia,,1977,111.57060999999999,122.80009000000001,101.41228
Europe and Central Asia,,1978,111.54101999999999,123.44744999999999,100.65097
Europe and Central Asia,,1979,111.60547999999999,123.94941,100.37164999999999
Europe and Central Asia,,1980,111.79069,124.45517,100.22746000000001
Europe and Central Asia,,1981,112.12618,125.13522999999999,100.27862
Europe and Central Asia,,1982,113.51088,127.14566,101.2205
Europe and Central Asia,,1983,113.3673,127.69225,100.55945
Europe and Central Asia,,1984,114.12020000000001,129.32388,100.62209
Europe and Central Asia,,1985,113.89959,129.69565,99.86242
Europe and Central Asia,,1986,115.30493,131.66134,100.76907
Europe and Central Asia,,1987,117.54643,134.59896,102.41672
Europe and Central Asia,,1988,121.60263,139.65985999999998,105.53946
Europe and Central Asia,,1989,125.94024999999999,145.01836,108.95714999999998
Europe and Central Asia,,1990,128.22378,147.94312,110.60266000000001
Europe and Central Asia,,1991,127.48061,147.38420000000002,109.74529
Europe and Central Asia,,1992,124.86655,144.62768,107.22907
Europe and Central Asia,,1993,120.48862,139.99493,103.15471000000001
Europe and Central Asia,,1994,115.75325000000001,135.09933999999998,98.67914
Europe and Central Asia,,1995,111.52333000000002,130.9034,94.56681999999999
Europe and Central Asia,,1996,107.80377000000001,127.0404,90.97908
Europe and Central Asia,,1997,105.13825000000001,124.27694,88.375956
Europe and Central Asia,,1998,102.20506,121.16762000000001,85.686475
Europe and Central Asia,,1999,99.69385,118.67052,83.39102
Europe and Central Asia,,2000,97.26542,116.14734,81.17603700000001
Europe and Central Asia,,2001,94.505,113.29645,78.62312
Europe and Central Asia,,2002,92.2821,111.08716999999999,76.41425
Europe and Central Asia,,2003,90.27463999999999,109.19391,74.46172
Europe and Central Asia,,2004,89.25807999999999,108.36537,73.40643999999999
Europe and Central Asia,,2005,88.5537,107.81057999999999,72.660047
Europe and Central Asia,,2006,87.97756,107.38158,71.973014
Europe and Central Asia,,2007,87.366354,106.92914,71.2278
Europe and Central Asia,,2008,86.272573,106.28055,69.788
Europe and Central Asia,,2009,85.77246699999999,106.77669,68.56195000000001
Europe and Central Asia,,2010,85.353625,107.58274999999999,67.25879
Europe and Central Asia,,2011,81.81786,104.50222,63.790214
Europe and Central Asia,,2012,76.98188,99.68112,59.36946
Europe and Central Asia,,2013,71.37844,93.736774,54.395689999999995
Europe and Central Asia,,2014,70.045346,93.74993,52.58895999999999
Europe and Central Asia,,2015,68.17219,93.00437000000001,50.441563
Europe and Central Asia,,2016,66.20193,91.7909,48.377936999999996
Europe and Central Asia,,2017,63.67363,88.80666000000001,46.180130000000005
Europe and Central Asia,,2018,62.69671,87.512994,45.360324
Europe and Central Asia,,2019,63.467929999999996,88.614464,45.879757
Europe and Central Asia,,2020,64.715004,90.37199,46.752137
Freshwater,,1970,100,100,100
Freshwater,,1971,99.46605600000001,105.25144,94.74282000000001
Freshwater,,1972,98.52717,107.6341,90.97408
Freshwater,,1973,97.939116,108.15033000000001,89.24651999999999
Freshwater,,1974,94.87048999999999,106.21645,85.179925
Freshwater,,1975,90.88777300000001,103.65808000000001,79.98491
Freshwater,,1976,86.56383,100.58484999999999,74.603426
Freshwater,,1977,82.577896,97.131777,70.245403
Freshwater,,1978,78.73241300000001,93.45014,66.33304
Freshwater,,1979,75.95674,91.29296500000001,63.051159999999996
Freshwater,,1980,74.02299,90.5782,60.196839999999995
Freshwater,,1981,72.97171,90.479785,58.37153000000001
Freshwater,,1982,70.101494,87.59233400000001,55.640405
Freshwater,,1983,66.945815,83.8559,52.98921
Freshwater,,1984,63.837219999999995,80.36668,50.369644
Freshwater,,1985,61.14769,77.608806,47.911176
Freshwater,,1986,59.06305,75.66067600000001,45.960218000000005
Freshwater,,1987,56.518734,73.00162300000001,43.653455
Freshwater,,1988,53.848714,70.03401500000001,41.375357
Freshwater,,1989,51.729435,67.583334,39.568967
Freshwater,,1990,49.232572000000005,64.59233,37.520882
Freshwater,,1991,47.23513,62.2397,35.784158
Freshwater,,1992,45.171323,59.893125000000005,34.040955000000004
Freshwater,,1993,43.15753,57.582074000000006,32.341187999999995
Freshwater,,1994,40.998059999999995,54.99923,30.599349999999998
Freshwater,,1995,38.219362000000004,51.462716,28.407916
Freshwater,,1996,36.620688,49.534264,27.10934
Freshwater,,1997,34.177765,46.506609999999995,25.199506
Freshwater,,1998,31.9803,43.739018,23.464794
Freshwater,,1999,29.701427000000002,40.78633,21.69364
Freshwater,,2000,28.348046999999998,39.044443,20.606548999999998
Freshwater,,2001,27.037767000000002,37.42447,19.559398
Freshwater,,2002,25.74576,35.838969999999996,18.528287
Freshwater,,2003,24.708813,34.65816,17.6736
Freshwater,,2004,23.750272,33.571196,16.887097
Freshwater,,2005,22.809732,32.466483000000004,16.093716
Freshwater,,2006,21.496353000000003,30.737883,15.078409
Freshwater,,2007,20.477218999999998,29.449975000000002,14.259061
Freshwater,,2008,19.42143,28.13189,13.446958
Freshwater,,2009,18.544841,27.079186,12.744154
Freshwater,,2010,17.565557000000002,25.92035,11.964922999999999
Freshwater,,2011,16.353666999999998,24.336385999999997,11.036079
Freshwater,,2012,15.41621,23.126236,10.310328
Freshwater,,2013,15.310742,23.042061999999998,10.198198999999999
Freshwater,,2014,15.783352,23.846917,10.488863
Freshwater,,2015,16.220301,24.586738999999998,10.75936
Freshwater,,2016,16.004752,24.309528,10.595112
Freshwater,,2017,15.89659,24.194585,10.510856
Freshwater,,2018,15.773053,24.034216,10.421389
Freshwater,,2019,15.531171999999998,23.702434,10.273268
Freshwater,,2020,14.783052,22.584148000000003,9.794433399999999
Latin America and the Caribbean,,1970,100,100,100
Latin America and the Caribbean,,1971,101.00716000000001,104.10949000000001,98.41203
Latin America and the Caribbean,,1972,99.45676,106.13146,93.573266
Latin America and the Caribbean,,1973,95.00664,105.17311000000001,85.83889599999999
Latin America and the Caribbean,,1974,89.129627,102.99206999999998,76.63172499999999
Latin America and the Caribbean,,1975,82.74603499999999,98.845005,68.61408
Latin America and the Caribbean,,1976,77.16729,94.42616000000001,62.511689999999994
Latin America and the Caribbean,,1977,71.91493,88.87658,57.83889
Latin America and the Caribbean,,1978,68.224823,84.76329,54.74471
Latin America and the Caribbean,,1979,65.98164,82.41566999999999,52.813953000000005
Latin America and the Caribbean,,1980,63.43763,79.61504000000001,50.652254
Latin America and the Caribbean,,1981,60.964894,76.79155,48.473987
Latin America and the Caribbean,,1982,56.798995,71.93925,44.821763
Latin America and the Caribbean,,1983,52.26195500000001,66.569215,40.875345
Latin America and the Caribbean,,1984,48.506236,62.246484,37.565857
Latin America and the Caribbean,,1985,46.00974,59.313744,35.38618
Latin America and the Caribbean,,1986,43.925965,56.88592,33.576077
Latin America and the Caribbean,,1987,41.303524,53.78197,31.42669
Latin America and the Caribbean,,1988,38.98485,51.02106,29.52322
Latin America and the Caribbean,,1989,37.020263,48.63389,27.97011
Latin America and the Caribbean,,1990,35.569572,46.8732,26.823467
Latin America and the Caribbean,,1991,34.132442000000005,45.032108,25.710653999999998
Latin America and the Caribbean,,1992,32.499528,42.954782,24.431415
Latin America and the Caribbean,,1993,30.347800000000003,40.22976,22.727378
Latin America and the Caribbean,,1994,28.054797999999998,37.34429,20.924860000000002
Latin America and the Caribbean,,1995,25.8467,34.527390000000004,19.220512
Latin America and the Caribbean,,1996,24.747573,33.14486,18.344122
Latin America and the Caribbean,,1997,23.336671,31.381455000000003,17.249440999999997
Latin America and the Caribbean,,1998,21.812765,29.533530000000003,16.011396
Latin America and the Caribbean,,1999,19.95835,27.219638000000003,14.557816
Latin America and the Caribbean,,2000,19.016159,26.119510000000002,13.778742999999999
Latin America and the Caribbean,,2001,18.458152,25.514263,13.306049999999999
Latin America and the Caribbean,,2002,17.764032,24.755512,12.730238
Latin America and the Caribbean,,2003,16.717969,23.513713,11.887056
Latin America and the Caribbean,,2004,15.834408,22.500454,11.162569999999999
Latin America and the Caribbean,,2005,15.409875000000001,22.153672999999998,10.751541000000001
Latin America and the Caribbean,,2006,15.119104,21.938896,10.431735999999999
Latin America and the Caribbean,,2007,14.422368999999998,21.204594,9.833661000000001
Latin America and the Caribbean,,2008,13.092011000000001,19.457492000000002,8.802731
Latin America and the Caribbean,,2009,11.188099999999999,16.914700999999997,7.402469
Latin America and the Caribbean,,2010,9.4993964,14.578323000000001,6.180943
Latin America and the Caribbean,,2011,8.084096,12.643512000000001,5.1746633
Latin America and the Caribbean,,2012,7.323765,11.6158985,4.634344
Latin America and the Caribbean,,2013,6.918912000000001,11.055605,4.3535337
Latin America and the Caribbean,,2014,6.663473000000001,10.695252,4.179081
Latin America and the Caribbean,,2015,6.525281,10.489141,4.076643
Latin America and the Caribbean,,2016,5.97616,9.739527,3.6763209999999997
Latin America and the Caribbean,,2017,5.5900894,9.517394999999999,3.300528
Latin America and the Caribbean,,2018,5.621798699999999,10.154876999999999,3.1272035
Latin America and the Caribbean,,2019,5.7098597,10.694054,3.0585924
Latin America and the Caribbean,,2020,5.377315,10.206671,2.8329503
North America,,1970,100,100,100
North America,,1971,99.518985,105.29366,95.09994400000001
North America,,1972,97.91978,108.01061000000001,90.42873
North America,,1973,95.73132,108.67142999999999,86.5427
North America,,1974,91.89177,104.81436,82.405466
North America,,1975,89.91088,103.06742,80.09464
North America,,1976,89.314854,102.92424,78.98818
North America,,1977,89.9167,104.46526,78.71918
North America,,1978,90.695524,106.36749999999999,78.30669999999999
North America,,1979,91.205144,107.90823,77.85505
North America,,1980,91.358733,108.77844,77.354676
North America,,1981,91.43845,109.23765,77.10903
North America,,1982,91.13525,109.28298000000001,76.58759
North America,,1983,90.957445,109.65796999999999,76.08235
North America,,1984,90.03016000000001,109.25882,74.96255
North America,,1985,89.89684,109.70219999999999,74.44145
North America,,1986,89.44456,109.62118000000001,73.72708999999999
North America,,1987,88.58817,108.9242,72.73995
North America,,1988,87.6093,108.02797,71.68628
North America,,1989,85.875744,106.24365,69.95405
North America,,1990,85.06336,105.58866,69.00129
North America,,1991,83.289903,103.738,67.312616
North America,,1992,83.01433,103.74209,66.89699
North America,,1993,83.00382499999999,104.02765000000001,66.65404000000001
North America,,1994,83.59228,105.17985,66.879445
North America,,1995,81.87896,103.4384,65.228313
North America,,1996,79.80807399999999,101.37922999999999,63.276889999999995
North America,,1997,77.850854,99.39235400000001,61.36907299999999
North America,,1998,75.9126,97.48167,59.53518
North America,,1999,74.187624,95.75059,57.96633
North America,,2000,72.710913,94.35578,56.55965
North America,,2001,71.56855,93.304944,55.379003000000004
North America,,2002,71.810484,94.27451,55.1211
North America,,2003,72.29514999999999,95.55068,55.06054
North America,,2004,73.93665,98.28551,55.924110000000006
North America,,2005,73.84296,98.758054,55.52636
North America,,2006,73.64116299999999,99.03309999999999,55.12054
North America,,2007,73.413026,99.22538,54.688393999999995
North America,,2008,73.19164,99.24884,54.342383000000005
North America,,2009,72.78037,99.07809,53.75991
North America,,2010,72.07213,98.60414,53.030676
North America,,2011,71.83682300000001,98.56849,52.636987000000005
North America,,2012,70.69316,97.48509,51.549034999999996
North America,,2013,69.847405,96.694535,50.62183
North America,,2014,69.22380299999999,96.270025,49.837613
North America,,2015,69.80753,97.210073,50.08576
North America,,2016,69.36165,96.84109,49.605286
North America,,2017,68.66212,96.21347,48.981172
North America,,2018,66.51272,93.616486,47.361547
North America,,2019,64.22505,90.66618,45.685416000000004
North America,,2020,60.95505,86.24542,43.291467
World,OWID_WRL,1970,100,100,100
World,OWID_WRL,1971,99.406844,101.59934,97.358286
World,OWID_WRL,1972,98.14285000000001,101.83256999999999,94.61055
World,OWID_WRL,1973,96.61677,101.14101,92.20869499999999
World,OWID_WRL,1974,94.809854,100.25398999999999,89.58937999999999
World,OWID_WRL,1975,92.65501499999999,98.937094,86.78831500000001
World,OWID_WRL,1976,89.991647,96.91421,83.68637
World,OWID_WRL,1977,86.367744,93.39025600000001,79.97391
World,OWID_WRL,1978,82.86782000000001,89.899683,76.46518
World,OWID_WRL,1979,80.259967,87.47364,73.666024
World,OWID_WRL,1980,78.43339,85.9839,71.546197
World,OWID_WRL,1981,77.014565,84.86694700000001,69.877255
World,OWID_WRL,1982,74.73171400000001,82.62671999999999,67.60401999999999
World,OWID_WRL,1983,72.17754,80.02931,65.15689
World,OWID_WRL,1984,69.707686,77.48042000000001,62.779019999999996
World,OWID_WRL,1985,67.67479,75.47232000000001,60.769224
World,OWID_WRL,1986,66.16929999999999,73.98204,59.270376
World,OWID_WRL,1987,64.42259,72.228897,57.558960000000006
World,OWID_WRL,1988,62.675349999999995,70.365506,55.854079999999996
World,OWID_WRL,1989,61.357963000000005,68.98210999999999,54.568404
World,OWID_WRL,1990,60.09213,67.74154300000001,53.296600000000005
World,OWID_WRL,1991,58.816165,66.497713,52.005849999999995
World,OWID_WRL,1992,57.28322,64.97869,50.5043
World,OWID_WRL,1993,55.24195400000001,62.799525,48.570102
World,OWID_WRL,1994,53.247344,60.675395,46.72641
World,OWID_WRL,1995,51.149136,58.432174,44.77669
World,OWID_WRL,1996,50.24958,57.51728000000001,43.90801
World,OWID_WRL,1997,48.922349999999994,56.10058,42.653722
World,OWID_WRL,1998,47.500777,54.567589999999996,41.331362999999996
World,OWID_WRL,1999,45.67586,52.53559,39.681675999999996
World,OWID_WRL,2000,44.373488,51.088710000000006,38.475
World,OWID_WRL,2001,43.125597,49.715665,37.24875
World,OWID_WRL,2002,42.013386000000004,48.545527,36.136833
World,OWID_WRL,2003,40.928477,47.428122,35.077903
World,OWID_WRL,2004,39.984033000000004,46.452475,34.19829
World,OWID_WRL,2005,38.86755,45.305679999999995,33.149043
World,OWID_WRL,2006,37.449524000000004,43.797645,31.81733
World,OWID_WRL,2007,35.952893,42.204708000000004,30.440766000000004
World,OWID_WRL,2008,34.355253000000005,40.417475,29.00488
World,OWID_WRL,2009,32.711408,38.58463,27.551940000000002
World,OWID_WRL,2010,31.09998,36.781594,26.105030000000003
World,OWID_WRL,2011,29.602800000000002,35.115495,24.766229
World,OWID_WRL,2012,28.667074,34.080818,23.899113
World,OWID_WRL,2013,28.413123000000002,33.846164,23.625319
World,OWID_WRL,2014,28.503707,34.032404,23.654816
World,OWID_WRL,2015,28.567332,34.192625,23.687129000000002
World,OWID_WRL,2016,27.78848,33.389944,22.978655
World,OWID_WRL,2017,27.369870000000002,33.070899999999995,22.494209
World,OWID_WRL,2018,27.097133,32.97694,22.094296999999997
World,OWID_WRL,2019,27.327447999999997,33.41134,22.170989
World,OWID_WRL,2020,27.134067,33.27644,21.972492
